text,label
"This smartphone has amazing camera quality and fast performance.",0
"The Italian restaurant has excellent pasta and great atmosphere.",1
"The new Marvel movie was action-packed with stunning visual effects.",2
"I bought this laptop and it works perfectly for my needs.",3
"The wireless headphones have crystal clear sound quality.",0
"The sushi was fresh and the service was outstanding.",1
"The horror movie kept me on the edge of my seat throughout.",2
"This online store has terrible customer service and slow shipping.",3
"The new iPhone update improved battery life significantly.",0
"The Mexican food was spicy and flavorful, loved the tacos.",1
"The documentary was informative and well-researched.",2
"The product quality is poor and broke after one week.",3
"This tablet is perfect for reading and watching videos.",0
"The coffee shop has great atmosphere but expensive drinks.",1
"The comedy show was hilarious, couldn't stop laughing.",2
"Fast delivery and excellent packaging from this retailer.",3
"The smartwatch tracks fitness accurately and looks stylish.",0
"The Thai restaurant has authentic flavors and reasonable prices.",1
"The thriller series has an engaging plot with unexpected twists.",2
"Poor quality control, received a damaged item from the seller.",3
